,uuid,id,bezeichnung,website,standort_id,-7,-6,-5,-4,-3,-2,-1,datum
0,29120528-9a7f-11e5-948d-0050569b7e95,100005393,Hamburger Straße/Braesigplatz,https://www.eco-public.com/public2/?id=100005393,100005393,1140.0,1054.0,946.0,496.0,121.0,232.0,770.0,06.10.2025
1,290ef568-9a7f-11e5-948b-0050569b7e95,100005395,Am Strande/Holzhalbinsel,https://www.eco-public.com/public2/?id=100005395,100005395,3409.0,2870.0,2621.0,1621.0,372.0,613.0,2356.0,06.10.2025
2,cc171afa-9150-11e7-99be-0050569946ac,100037010,Hinrichshagen,https://www.eco-public.com/public2/?id=100037010,100037010,235.0,169.0,207.0,411.0,15.0,102.0,86.0,06.10.2025
3,290b9422-9a7f-11e5-9489-0050569b7e95,100011605,Mühlendamm/Flussbad,https://www.eco-public.com/public2/?id=100011605,100011605,2498.0,2194.0,1963.0,985.0,240.0,468.0,1624.0,06.10.2025
4,291079c4-9a7f-11e5-948c-0050569b7e95,100005394,Lange Straße Süd,https://www.eco-public.com/public2/?id=100005394,100005394,1033.0,985.0,889.0,263.0,139.0,169.0,812.0,06.10.2025
5,7b921cb8-8f93-4afe-aae1-8dc24cae353e,100056900,Uni-Campus,https://www.eco-public.com/public2/?id=100056900,100056900,674.0,645.0,517.0,246.0,71.0,115.0,524.0,06.10.2025
6,29137f48-9a7f-11e5-948e-0050569b7e95,100005392,Hamburger Straße/Liningweg,https://www.eco-public.com/public2/?id=100005392,100005392,667.0,589.0,534.0,386.0,73.0,164.0,444.0,06.10.2025
7,2913fbe4-9a7f-11e5-948f-0050569b7e95,100017341,Warnemünde Wetterwarte,https://www.eco-public.com/public2/?id=100017341,100017341,1484.0,1401.0,1554.0,2605.0,170.0,617.0,884.0,06.10.2025
8,1735a76e-9150-11e7-99bd-0050569946ac,100037011,Markgrafenheide,https://www.eco-public.com/public2/?id=100037011,100037011,414.0,371.0,429.0,739.0,20.0,157.0,151.0,06.10.2025
9,290d71fc-9a7f-11e5-948a-0050569b7e95,100034887,Hundertmännerstraße,https://www.eco-public.com/public2/?id=100034887,100034887,2567.0,2242.0,2122.0,844.0,364.0,605.0,2094.0,06.10.2025
10,291473d0-9a7f-11e5-9490-0050569b7e95,100037012,Graal-Müritz,https://www.eco-public.com/public2/?id=100037012,100037012,230.0,225.0,247.0,390.0,6.0,88.0,73.0,06.10.2025
